"State Name","County Name","FIPSST","FIPSCNTY","FIPS","SSAST","SSACNTY","SSA","Eligibles","Enrolled","Penetration"
"Pending State Designation","Pending County Designation","00","000","00000","00","999","00999","14,790","",""
"Alabama","Autauga","01","001","01001","01","000","01000","11,608","6,786","58.46%"
"Alabama","Baldwin","01","003","01003","01","010","01010","60,457","33,671","55.69%"
"Alabama","Barbour","01","005","01005","01","020","01020","6,599","4,050","61.37%"
"Alabama","Bibb","01","007","01007","01","030","01030","4,788","3,105","64.85%"
"Alabama","Blount","01","009","01009","01","040","01040","12,883","8,717","67.66%"
"Alabama","Bullock","01","011","01011","01","050","01050","2,010","1,574","78.31%"
"Alabama","Butler","01","013","01013","01","060","01060","4,975","2,945","59.20%"
"Alabama","Calhoun","01","015","01015","01","070","01070","27,775","13,790","49.65%"
"Alabama","Chambers","01","017","01017","01","080","01080","8,986","5,326","59.27%"
"Alabama","Cherokee","01","019","01019","01","090","01090","7,587","4,240","55.89%"
"Alabama","Chilton","01","021","01021","01","100","01100","9,818","6,969","70.98%"
"Alabama","Choctaw","01","023","01023","01","110","01110","3,812","1,967","51.60%"
"Alabama","Clarke","01","025","01025","01","120","01120","6,328","4,065","64.24%"
"Alabama","Clay","01","027","01027","01","130","01130","3,684","2,172","58.96%"
"Alabama","Cleburne","01","029","01029","01","140","01140","3,575","1,675","46.85%"
"Alabama","Coffee","01","031","01031","01","150","01150","11,335","5,342","47.13%"
"Alabama","Colbert","01","033","01033","01","160","01160","14,481","7,657","52.88%"
"Alabama","Conecuh","01","035","01035","01","170","01170","3,521","1,952","55.44%"
"Alabama","Coosa","01","037","01037","01","180","01180","2,724","1,869","68.61%"
"Alabama","Covington","01","039","01039","01","190","01190","10,069","5,142","51.07%"
"Alabama","Crenshaw","01","041","01041","01","200","01200","3,655","2,125","58.14%"
"Alabama","Cullman","01","043","01043","01","210","01210","20,700","11,313","54.65%"
"Alabama","Dale","01","045","01045","01","220","01220","11,105","5,586","50.30%"
"Alabama","Dallas","01","047","01047","01","230","01230","9,927","6,501","65.49%"
"Alabama","DeKalb","01","049","01049","01","240","01240","16,134","8,136","50.43%"
