"State Name","County Name","FIPSST","FIPSCNTY","FIPS","SSAST","SSACNTY","SSA","Eligibles","Enrolled","Penetration"
"Pending State Designation","Pending County Designation","00","000","00000","00","999","00999","14,790","",""
"Alabama","Autauga","01","001","01001","01","000","01000","11,608","1,710","14.73%"
"Alabama","Baldwin","01","003","01003","01","010","01010","60,457","14,525","24.03%"
"Alabama","Barbour","01","005","01005","01","020","01020","6,599","1,264","19.15%"
"Alabama","Bibb","01","007","01007","01","030","01030","4,788","811","16.94%"
"Alabama","Blount","01","009","01009","01","040","01040","12,883","2,457","19.07%"
"Alabama","Bullock","01","011","01011","01","050","01050","2,010","414","20.60%"
"Alabama","Butler","01","013","01013","01","060","01060","4,975","1,227","24.66%"
"Alabama","Calhoun","01","015","01015","01","070","01070","27,775","5,620","20.23%"
"Alabama","Chambers","01","017","01017","01","080","01080","8,986","2,040","22.70%"
"Alabama","Cherokee","01","019","01019","01","090","01090","7,587","2,201","29.01%"
"Alabama","Chilton","01","021","01021","01","100","01100","9,818","1,526","15.54%"
"Alabama","Choctaw","01","023","01023","01","110","01110","3,812","1,255","32.92%"
"Alabama","Clarke","01","025","01025","01","120","01120","6,328","1,326","20.95%"
"Alabama","Clay","01","027","01027","01","130","01130","3,684","764","20.74%"
"Alabama","Cleburne","01","029","01029","01","140","01140","3,575","1,093","30.57%"
"Alabama","Coffee","01","031","01031","01","150","01150","11,335","2,089","18.43%"
"Alabama","Colbert","01","033","01033","01","160","01160","14,481","4,486","30.98%"
"Alabama","Conecuh","01","035","01035","01","170","01170","3,521","943","26.78%"
"Alabama","Coosa","01","037","01037","01","180","01180","2,724","682","25.04%"
"Alabama","Covington","01","039","01039","01","190","01190","10,069","2,816","27.97%"
"Alabama","Crenshaw","01","041","01041","01","200","01200","3,655","728","19.92%"
"Alabama","Cullman","01","043","01043","01","210","01210","20,700","5,811","28.07%"
"Alabama","Dale","01","045","01045","01","220","01220","11,105","1,945","17.51%"
"Alabama","Dallas","01","047","01047","01","230","01230","9,927","1,973","19.88%"
"Alabama","DeKalb","01","049","01049","01","240","01240","16,134","4,788","29.68%"
"Alabama","Elmore","01","051","01051","01","250","01250","18,911","2,863","15.14%"
"Alabama","Escambia","01","053","01053","01","260","01260","8,818","2,176","24.68%"
"Alabama","Etowah","01","055","01055","01","270","01270","25,791","7,621","29.55%"
"Alabama","Fayette","01","057","01057","01","280","01280","4,892","1,372","28.05%"
"Alabama","Franklin","01","059","01059","01","290","01290","6,534","2,401","36.75%"
"Alabama","Geneva","01","061","01061","01","300","01300","6,960","1,512","21.72%"
"Alabama","Greene","01","063","01063","01","310","01310","2,343","494","21.08%"
"Alabama","Hale","01","065","01065","01","320","01320","4,158","996","23.95%"
"Alabama","Henry","01","067","01067","01","330","01330","5,081","999","19.66%"
"Alabama","Houston","01","069","01069","01","340","01340","25,082","5,627","22.43%"
"Alabama","Jackson","01","071","01071","01","350","01350","13,406","4,275","31.89%"
"Alabama","Jefferson","01","073","01073","01","360","01360","134,215","24,210","18.04%"
"Alabama","Lamar","01","075","01075","01","370","01370","3,785","1,510","39.89%"
"Alabama","Lauderdale","01","077","01077","01","380","01380","23,005","7,707","33.50%"
"Alabama","Lawrence","01","079","01079","01","390","01390","7,954","2,522","31.71%"
"Alabama","Lee","01","081","01081","01","400","01400","27,037","6,281","23.23%"
"Alabama","Limestone","01","083","01083","01","410","01410","20,139","5,707","28.34%"
"Alabama","Lowndes","01","085","01085","01","420","01420","2,954","389","13.17%"
"Alabama","Macon","01","087","01087","01","430","01430","4,761","620","13.02%"
"Alabama","Madison","01","089","01089","01","440","01440","72,709","16,574","22.79%"
"Alabama","Marengo","01","091","01091","01","450","01450","5,425","1,503","27.71%"
"Alabama","Marion","01","093","01093","01","460","01460","7,044","2,636","37.42%"
"Alabama","Marshall","01","095","01095","01","470","01470","21,032","6,017","28.61%"
"Alabama","Mobile","01","097","01097","01","480","01480","87,524","14,196","16.22%"
"Alabama","Monroe","01","099","01099","01","490","01490","5,337","1,161","21.75%"
"Alabama","Montgomery","01","101","01101","01","500","01500","44,965","6,595","14.67%"
"Alabama","Morgan","01","103","01103","01","510","01510","26,964","8,605","31.91%"
"Alabama","Perry","01","105","01105","01","520","01520","2,458","547","22.25%"
"Alabama","Pickens","01","107","01107","01","530","01530","4,927","1,396","28.33%"
"Alabama","Pike","01","109","01109","01","540","01540","6,604","1,229","18.61%"
"Alabama","Randolph","01","111","01111","01","550","01550","6,087","1,668","27.40%"
"Alabama","Russell","01","113","01113","01","560","01560","12,325","2,301","18.67%"
"Alabama","St. Clair","01","115","01115","01","570","01570","19,751","3,472","17.58%"
"Alabama","Shelby","01","117","01117","01","580","01580","41,980","9,309","22.17%"
"Alabama","Sumter","01","119","01119","01","590","01590","3,216","787","24.47%"
"Alabama","Talladega","01","121","01121","01","600","01600","19,987","3,851","19.27%"
"Alabama","Tallapoosa","01","123","01123","01","610","01610","11,733","2,661","22.68%"
"Alabama","Tuscaloosa","01","125","01125","01","620","01620","37,918","9,009","23.76%"
"Alabama","Walker","01","127","01127","01","630","01630","17,215","2,793","16.22%"
"Alabama","Washington","01","129","01129","01","640","01640","4,327","1,108","25.61%"
"Alabama","Wilcox","01","131","01131","01","650","01650","3,334","692","20.76%"
"Alabama","Winston","01","133","01133","01","660","01660","5,964","1,670","28.00%"
"Alaska","Aleutians East","02","013","02013","02","013","02013","164","70","42.68%"
"Alaska","Aleutians West","02","016","02016","02","016","02016","238","83","34.87%"
"Alaska","Anchorage","02","020","02020","02","020","02020","43,044","27,981","65.01%"
"Alaska","Bethel","02","050","02050","02","050","02050","1,642","1,136","69.18%"
"Alaska","Bristol Bay","02","060","02060","02","060","02060","160","74","46.25%"
"Alaska","Denali","02","068","02068","02","068","02068","306","172","56.21%"
"Alaska","Dillingham","02","070","02070","02","070","02070","545","324","59.45%"
"Alaska","Fairbanks North Star","02","090","02090","02","090","02090","12,903","8,442","65.43%"
"Alaska","Haines","02","100","02100","02","100","02100","698","477","68.34%"
"Alaska","Juneau","02","110","02110","02","110","02110","5,709","4,349","76.18%"
"Alaska","Kenai Peninsula","02","122","02122","02","122","02122","13,724","9,060","66.02%"
"Alaska","Ketchikan Gateway","02","130","02130","02","130","02130","2,745","1,915","69.76%"
"Alaska","Kodiak Island","02","150","02150","02","150","02150","1,954","1,146","58.65%"
"Alaska","Lake and Peninsula","02","164","02164","02","164","02164","183","105","57.38%"
"Alaska","Matanuska-Susitna","02","170","02170","02","170","02170","17,673","11,249","63.65%"
"Alaska","Nome","02","180","02180","02","180","02180","965","594","61.55%"
"Alaska","North Slope","02","185","02185","02","185","02185","559","271","48.48%"
"Alaska","Northwest Arctic","02","188","02188","02","188","02188","629","366","58.19%"
"Alaska","Sitka","02","220","02220","02","220","02220","1,604","1,097","68.39%"
"Alaska","Southeast Fairbanks","02","240","02240","02","240","02240","1,455","795","54.64%"
"Alaska","Yakutat","02","282","02282","02","282","02282","120","71","59.17%"
"Alaska","Yukon-Koyukuk","02","290","02290","02","290","02290","966","624","64.60%"
"Arizona","Apache","04","001","04001","03","000","03000","14,014","5,321","37.97%"
"Arizona","Cochise","04","003","04003","03","010","03010","35,661","8,124","22.78%"
"Arizona","Coconino","04","005","04005","03","020","03020","22,978","9,740","42.39%"
"Arizona","Gila","04","007","04007","03","030","03030","18,078","7,435","41.13%"
"Arizona","Graham","04","009","04009","03","040","03040","6,118","1,720","28.11%"
"Arizona","Greenlee","04","011","04011","03","050","03050","1,311","391","29.82%"
"Arizona","La Paz","04","012","04012","03","055","03055","6,219","1,879","30.21%"
"Arizona","Maricopa","04","013","04013","03","060","03060","756,622","241,307","31.89%"
"Arizona","Mohave","04","015","04015","03","070","03070","72,861","23,608","32.40%"
"Arizona","Navajo","04","017","04017","03","080","03080","26,624","10,611","39.86%"
"Arizona","Pima","04","019","04019","03","090","03090","244,919","64,224","26.22%"
"Arizona","Pinal","04","021","04021","03","100","03100","97,173","25,424","26.16%"
"Arizona","Santa Cruz","04","023","04023","03","110","03110","11,095","2,156","19.43%"
"Arizona","Yavapai","04","025","04025","03","120","03120","90,289","34,893","38.65%"
"Arizona","Yuma","04","027","04027","03","130","03130","41,547","12,227","29.43%"
"Arkansas","Arkansas","05","001","05001","04","000","04000","4,128","2,003","48.52%"
"Arkansas","Ashley","05","003","05003","04","010","04010","5,122","2,717","53.05%"
"Arkansas","Baxter","05","005","05005","04","020","04020","15,243","5,979","39.22%"
"Arkansas","Benton","05","007","05007","04","030","04030","48,133","15,629","32.47%"
"Arkansas","Boone","05","009","05009","04","040","04040","10,462","3,976","38.00%"
"Arkansas","Bradley","05","011","05011","04","050","04050","2,484","1,185","47.71%"
"Arkansas","Calhoun","05","013","05013","04","060","04060","1,227","484","39.45%"
"Arkansas","Carroll","05","015","05015","04","070","04070","7,667","2,403","31.34%"
"Arkansas","Chicot","05","017","05017","04","080","04080","2,651","929","35.04%"
"Arkansas","Clark","05","019","05019","04","090","04090","4,678","1,685","36.02%"
"Arkansas","Clay","05","021","05021","04","100","04100","3,837","1,731","45.11%"
"Arkansas","Cleburne","05","023","05023","04","110","04110","8,457","3,507","41.47%"
"Arkansas","Cleveland","05","025","05025","04","120","04120","1,992","881","44.23%"
"Arkansas","Columbia","05","027","05027","04","130","04130","5,202","2,419","46.50%"
"Arkansas","Conway","05","029","05029","04","140","04140","5,325","2,092","39.29%"
"Arkansas","Craighead","05","031","05031","04","150","04150","19,554","8,167","41.77%"
"Arkansas","Crawford","05","033","05033","04","160","04160","14,480","4,227","29.19%"
"Arkansas","Crittenden","05","035","05035","04","170","04170","9,525","3,323","34.89%"
"Arkansas","Cross","05","037","05037","04","180","04180","3,959","1,471","37.16%"
"Arkansas","Dallas","05","039","05039","04","190","04190","1,884","669","35.51%"
"Arkansas","Desha","05","041","05041","04","200","04200","2,743","1,046","38.13%"
"Arkansas","Drew","05","043","05043","04","210","04210","3,871","1,626","42.00%"
"Arkansas","Faulkner","05","045","05045","04","220","04220","21,990","8,894","40.45%"
"Arkansas","Franklin","05","047","05047","04","230","04230","4,388","1,457","33.20%"
"Arkansas","Fulton","05","049","05049","04","240","04240","3,737","1,476","39.50%"
"Arkansas","Garland","05","051","05051","04","250","04250","29,451","10,904","37.02%"
"Arkansas","Grant","05","053","05053","04","260","04260","4,175","1,585","37.96%"
"Arkansas","Greene","05","055","05055","04","270","04270","9,765","4,001","40.97%"
"Arkansas","Hempstead","05","057","05057","04","280","04280","4,762","1,718","36.08%"
"Arkansas","Hot Spring","05","059","05059","04","290","04290","7,994","2,772","34.68%"
"Arkansas","Howard","05","061","05061","04","300","04300","3,107","1,420","45.70%"
"Arkansas","Independence","05","063","05063","04","310","04310","8,903","4,086","45.89%"
"Arkansas","Izard","05","065","05065","04","320","04320","4,174","1,664","39.87%"
"Arkansas","Jackson","05","067","05067","04","330","04330","3,864","1,592","41.20%"
"Arkansas","Jefferson","05","069","05069","04","340","04340","15,479","4,714","30.45%"
"Arkansas","Johnson","05","071","05071","04","350","04350","5,921","1,920","32.43%"
"Arkansas","Lafayette","05","073","05073","04","360","04360","1,826","698","38.23%"
"Arkansas","Lawrence","05","075","05075","04","370","04370","4,225","1,533","36.28%"
"Arkansas","Lee","05","077","05077","04","380","04380","1,955","573","29.31%"
